Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1,14-Feb,,11,1,12,11,1,12,5,0.299331,0.309752,0,0.002803,0.002803,59,0.000382,0,0.969697,64,0.030425
2,118degreestomorrow,,1,4,5,1,4,5,5,0.282632,0.293635,0,0.000845,0.000845,64,0.0001,0,1,10,0.000584
3,12points,,2,1,3,2,1,3,5,0.308981,0.324439,0,0.002964,0.002964,67,0.000156,0,1,3,0.001232
4,13news,,0,1,1,0,1,1,5,0.299129,0.307528,0,0.001501,0.001501,20,0.000085,0,0,0,0
5,180g,,4,2,6,4,2,6,5,0.323542,0.331564,0,0.005205,0.005205,5,0.000222,0,1,15,0.012336
6,19yrs,,1,3,4,1,3,4,5,0.311612,0.332159,0,0.008237,0.008237,21,0.000103,0,1,6,0.000584
7,1f,,2,0,2,2,0,2,5,0.299149,0.307641,0,0.001538,0.001538,20,0.000138,0,1,1,0.011156
8,2013glastonbury,,0,2,2,0,2,2,4,0.352436,0.363878,0,0.007649,0.007649,20,0.000085,0,1,1,0
9,20likes,,6,3,9,6,3,9,5,0.325469,0.336401,0,0.011313,0.011313,26,0.000379,0,0.972222,35,0.042534
10,20thBirthday,,1,2,3,1,2,3,5,0.314511,0.335848,0,0.009142,0.009142,52,0.000109,0,1,3,0.000584
11,20turnup,,1,0,1,1,0,1,5,0.29122,0.300211,0,0.001384,0.001384,4,0.000122,0,0,0,0.01327
12,2from2,,2,0,2,2,0,2,5,0.308959,0.324326,0,0.00292,0.00292,67,0.000144,0,1,1,0.027968
13,2inaro,,1,0,1,1,0,1,1,1,1,0,0,0,0,0.000157,1,0,0,0.000584
14,2nd,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
15,2ndTest,,3,5,8,4,5,9,5,0.317237,0.331967,0.000005,0.004095,0.004095,67,0.000218,0,0.380952,8,0.029784
16,2ndtimeimissedseeingher,,1,0,1,1,0,1,5,0.28256,0.293184,0,0.000763,0.000763,64,0.000124,0,0,0,0.012907
17,30STM,,1,8,9,1,8,9,5,0.347567,0.35938,0,0.016132,0.016132,29,0.00009,0,1,36,0.001008
18,33Provinces,,3,3,6,3,3,6,5,0.312425,0.328986,0,0.007035,0.007035,26,0.000146,0,1,15,0.04072
19,33rpm,,3,3,6,3,3,6,5,0.323542,0.331564,0,0.005205,0.005205,5,0.000173,0,1,15,0.011215
20,3morehours,,1,1,2,1,1,2,6,0.266924,0.275851,0,0.002191,0.002191,26,0.000119,0,1,1,0.016367
21,3rdbase,,0,1,1,0,1,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000085,0,0,0,0
22,3sum,,2,1,3,2,1,3,1,1,1,0,0,0,9,0.000156,2,1,3,0.001232
23,49days,,1,0,1,1,0,1,6,0.239779,0.244497,0,0.000082,0.000082,20,0.000105,0,0,0,0.000651
24,4am,,0,1,1,0,1,1,5,0.28256,0.293184,0,0.000763,0.000763,64,0.000085,0,0,0,0
25,4nations,,2,0,2,2,0,2,5,0.308959,0.324326,0,0.003001,0.003001,67,0.000146,0,1,1,0.028789
26,4weekstogo,,1,0,1,1,0,1,5,0.310584,0.321921,0,0.002954,0.002954,20,0.000116,0,0,0,0.02392
27,5000km,,2,3,5,2,3,5,5,0.298665,0.307908,0,0.00184,0.00184,4,0.000145,0,1,10,0.015592
28,604EXTRAVAGANZA,,0,1,1,0,1,1,6,0.261687,0.267536,0,0.000411,0.000411,20,0.000085,0,0,0,0
29,6hobbs,,2,2,4,2,2,4,4,0.356522,0.368658,0.000001,0.010675,0.010675,20,0.000118,0,0.833333,5,0.016076
30,6music,,2,1,3,2,1,3,5,0.320568,0.32713,0.000001,0.003225,0.003225,20,0.000118,0,0.666667,2,0.016076
31,70sfilter,,5,3,8,5,3,8,5,0.313287,0.32471,0,0.006111,0.006111,35,0.000241,0,1,28,0.031736
32,77Hartley,,2,2,4,2,2,4,5,0.333685,0.352492,0,0.015605,0.015605,21,0.000189,0,1,6,0.064106
33,7ds,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
34,8Acts,,1,12,13,1,12,13,5,0.338817,0.352179,0,0.023677,0.023677,3,0.000106,0,1,78,0.01257
35,992togo,,1,0,1,1,0,1,5,0.28256,0.293184,0,0.000763,0.000763,64,0.000124,0,0,0,0.012907
36,9mm,,5,2,7,5,2,7,5,0.311677,0.332498,0,0.008939,0.008939,21,0.000198,0,1,21,0.003589
37,a,,4,11,15,4,11,15,5,0.30965,0.321195,0,0.007792,0.007792,1,0.000112,0,1,105,0.003946
38,AAAW,,2,0,2,2,0,2,5,0.2772,0.284982,0,0.000796,0.000796,20,0.000206,0,1,1,0.009952
39,AAMI,,2,2,4,2,2,4,5,0.312712,0.333138,0,0.008472,0.008472,21,0.000138,0,1,6,0.003748
40,aaronlacyphotography,,6,2,8,6,2,8,5,0.334037,0.351938,0,0.012588,0.012588,26,0.000294,0,1,28,0.070967
41,abc2020,,0,4,4,0,4,4,5,0.313909,0.32544,0,0.004794,0.004794,4,0.000085,0,1,6,0
42,abs,,2,10,12,2,10,12,5,0.304581,0.316509,0,0.008522,0.008522,1,0.000106,0,1,66,0.004937
43,AC,,1,1,2,1,1,2,5,0.282578,0.293296,0,0.000782,0.000782,64,0.000121,0,1,1,0.000584
44,accessories,,1,3,4,1,3,4,4,0.334517,0.343383,0,0.005675,0.005675,20,0.000103,0,1,6,0.000584
45,accomplished,,2,1,3,2,1,3,5,0.297701,0.308416,0,0.001295,0.001295,64,0.000205,0,1,3,0.018485
46,acidhouse,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
47,AcMilan,,1,1,2,1,1,2,6,0.258841,0.266437,0,0.000354,0.000354,2,0.000121,0,1,1,0.000584
