Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
0,,,183,183,2,0.510252,0.520092,0.00021,4,0.00022,0,0.038492,641,0.811604
25,,,170,170,3,0.509339,0.518555,0.000185,3,0.000207,0,0.040028,575,0.746054
53,,,184,184,3,0.510252,0.520165,0.00021,5,0.000221,0,0.04039,680,0.821465
74,,,171,171,3,0.509168,0.518519,0.000184,0,0.000208,0,0.038872,565,0.756878
78,,,175,175,3,0.509567,0.519067,0.00019,0,0.000212,0,0.041248,628,0.781042
95,,,176,176,3,0.509624,0.519177,0.000198,5,0.000213,0,0.041039,632,0.775223
107,,,180,180,3,0.509909,0.519653,0.000205,1,0.000217,0,0.039789,641,0.799172
159,,,160,160,3,0.508486,0.517274,0.000161,1,0.000197,0,0.039623,504,0.708748
167,,,158,158,3,0.508543,0.517164,0.000157,1,0.000195,0,0.036846,457,0.700395
175,,,167,167,3,0.509168,0.518226,0.000173,4,0.000204,0,0.039752,551,0.747247
262,,,158,158,3,0.508429,0.517091,0.000158,2,0.000195,0,0.039103,485,0.698348
281,,,181,181,3,0.510024,0.519799,0.000212,0,0.000218,0,0.037385,609,0.792439
297,,,195,195,2,0.510939,0.52141,0.000239,6,0.000232,0,0.040285,762,0.866808
347,,,180,180,3,0.509852,0.519616,0.000204,0,0.000217,0,0.038796,625,0.798699
367,,,176,176,3,0.509738,0.51925,0.000195,3,0.000213,0,0.04,616,0.781781
410,,,212,212,3,0.511858,0.52324,0.000283,2,0.00025,0,0.039032,873,0.941109
411,,,164,164,3,0.508997,0.517896,0.000169,1,0.000201,0,0.040775,545,0.727376
424,,,184,184,3,0.510252,0.520165,0.000214,5,0.000221,0,0.040152,676,0.813866
436,,,201,201,3,0.511226,0.522032,0.000257,6,0.000239,0,0.03597,723,0.891261
446,,,192,192,3,0.510538,0.520934,0.000233,5,0.000229,0,0.041449,760,0.850368
462,,,187,187,3,0.510195,0.520348,0.000222,1,0.000224,0,0.041343,719,0.827019
470,,,194,194,3,0.510767,0.521227,0.000237,5,0.000231,0,0.040489,758,0.859269
508,,,190,190,3,0.510595,0.520824,0.000226,1,0.000227,0,0.041715,749,0.843768
542,,,183,183,3,0.510195,0.520056,0.000212,4,0.00022,0,0.03663,610,0.810748
564,,,200,200,3,0.511111,0.521886,0.000248,4,0.000237,0,0.039347,783,0.893942
567,,,185,185,3,0.510138,0.520165,0.000217,6,0.000222,0,0.038778,660,0.819254
594,,,171,171,3,0.50951,0.518738,0.000184,1,0.000208,0,0.039972,581,0.760207
638,,,169,169,3,0.508884,0.518189,0.000182,5,0.000206,0,0.038673,549,0.745427
649,,,178,178,3,0.509738,0.519397,0.000197,2,0.000215,0,0.041199,649,0.792293
666,,,179,179,3,0.509852,0.519543,0.000206,4,0.000216,0,0.038604,615,0.788376
713,,,187,187,3,0.510366,0.520458,0.000221,4,0.000224,0,0.039676,690,0.827477
756,,,170,170,3,0.509282,0.518519,0.000181,1,0.000207,0,0.042047,604,0.75623
824,,,192,192,3,0.510653,0.521007,0.000232,0,0.000229,0,0.039212,719,0.854757
851,,,187,187,3,0.510309,0.520422,0.00022,3,0.000224,0,0.040711,708,0.829244
859,,,197,197,3,0.510996,0.521593,0.000239,0,0.000234,0,0.042215,815,0.883533
1007,,,208,208,2,0.511685,0.522837,0.000273,1,0.000246,0,0.040831,879,0.922644
1013,,,165,165,3,0.508997,0.51797,0.000169,0,0.000202,0,0.040872,553,0.737136
1035,,,167,167,3,0.509111,0.518189,0.000179,6,0.000204,0,0.039103,542,0.735634
1091,,,195,195,3,0.510824,0.521337,0.000237,2,0.000232,0,0.040391,764,0.869877
1233,,,190,190,3,0.510481,0.520751,0.000232,4,0.000228,0,0.039098,702,0.835235
1235,,,173,173,3,0.509282,0.518738,0.000187,1,0.00021,0,0.042008,625,0.770879
1243,,,216,216,3,0.512088,0.523679,0.000295,0,0.000254,0,0.038587,896,0.95889
1264,,,159,159,3,0.5086,0.517274,0.000157,1,0.000195,0,0.037736,474,0.709951
