Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
0,,,194,194,2,0.510882,0.5213,0.000149,0.012667,0.012667,0,0.000192,0,0.054271,1016,0.700266
6,,,232,232,2,0.513069,0.525472,0.000216,0.015069,0.015069,0,0.000223,0,0.050418,1351,0.833042
56,,,216,216,2,0.512146,0.523715,0.000186,0.014093,0.014093,5,0.00021,0,0.049914,1159,0.779045
64,,,249,249,2,0.514054,0.527339,0.000252,0.016127,0.016127,8,0.000237,0,0.050881,1571,0.891555
80,,,199,199,2,0.511168,0.521849,0.000159,0.012994,0.012994,5,0.000196,0,0.048221,950,0.718275
93,,,212,212,2,0.511915,0.523276,0.000177,0.013886,0.013886,1,0.000207,0,0.051238,1146,0.76753
151,,,226,226,2,0.512722,0.524813,0.000204,0.014781,0.014781,6,0.000218,0,0.050973,1296,0.817043
152,,,199,199,2,0.511168,0.521849,0.000161,0.01286,0.01286,7,0.000196,0,0.049439,974,0.710998
157,,,227,227,2,0.51278,0.524923,0.00021,0.014693,0.014693,1,0.000219,0,0.048497,1244,0.812315
159,,,226,226,2,0.512722,0.524813,0.000208,0.014606,0.014606,0,0.000219,0,0.048614,1236,0.807479
177,,,207,207,2,0.511628,0.522727,0.000174,0.013414,0.013414,8,0.000203,0,0.05056,1078,0.741574
192,,,233,233,2,0.513127,0.525582,0.000217,0.015134,0.015134,2,0.000224,0,0.05276,1426,0.836658
235,,,257,257,2,0.514518,0.528217,0.000266,0.01674,0.01674,5,0.000244,0,0.04958,1631,0.925382
244,,,230,230,3,0.512896,0.525216,0.000212,0.015016,0.015016,5,0.000222,0,0.047997,1264,0.830014
281,,,226,226,2,0.512722,0.524813,0.000204,0.01475,0.01475,0,0.000218,0,0.049872,1268,0.815339
284,,,239,239,2,0.513474,0.526241,0.000227,0.015635,0.015635,5,0.000229,0,0.050455,1435,0.864214
