Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1589,Glastonbury,893,15671,3,0.544114,0.594249,3166366.883,0.30701,0.30701,1,0.00514,0,0.004625,1842,1
1663,Goodtimes,840,1777,4,0.452483,0.528399,2370605.025,0.314762,0.314762,1,0.003078,0,0.006834,2408,0.902195
1312,Festival,613,2245,4,0.450641,0.509824,1517552.457,0.243027,0.243027,1,0.001826,0,0.010801,2026,0.709938
2344,lions,559,1817,4,0.447002,0.502522,1739946.293,0.116234,0.116234,1,0.003378,0,0.005534,860,0.510809
1570,Glasto,360,5063,4,0.450458,0.490515,995288.3705,0.121737,0.121737,1,0.001886,0,0.010384,671,0.409798
2375,live,307,668,4,0.428323,0.467856,659940.8777,0.139901,0.139901,1,0.000915,0,0.025058,1177,0.397298
4387,Wimbledon,284,1349,4,0.414956,0.453647,624183.6392,0.085112,0.085112,1,0.0013,0,0.017668,710,0.31361
130,amazing,249,2323,4,0.429403,0.464149,474804.3624,0.130971,0.130971,1,0.000727,0,0.037861,1169,0.363672
1366,fml,237,379,4,0.39381,0.428504,844292.6485,0.031443,0.031443,1,0.001438,0,0.008224,230,0.160323
2430,love,222,1816,4,0.455602,0.484323,296351.4617,0.180851,0.180851,1,0.00048,0,0.059068,1449,0.457525
4043,today,190,245,4,0.426302,0.457148,335217.1477,0.113262,0.113262,1,0.000471,0,0.052743,947,0.312009
1858,home,188,263,5,0.364055,0.392152,268507.3728,0.088119,0.088119,1,0.000507,0,0.051428,904,0.236616
2709,music,168,934,4,0.460435,0.484097,267568.4462,0.128929,0.128929,1,0.0005,0,0.058098,815,0.350119
4161,UK,158,668,4,0.414956,0.444576,399337.2556,0.056368,0.056368,11,0.00052,0,0.044102,547,0.197313
1440,friends,151,381,5,0.402582,0.431692,116067.7468,0.118285,0.118285,1,0.000399,0,0.077086,873,0.296467
1182,Epic,146,271,4,0.410837,0.439118,354248.0818,0.057027,0.057027,1,0.000645,0,0.030893,327,0.186986
