Tweet,Sentiment,Clean_tweet
WI 1848 Forward: #Forbes: #ObamaCare ? A good deal ? #ACA vs #elites #1% #Akin #Santorum -Think about it #WOW #NARAL http://t.co/J9Mt0ocRQh,1,WI forward #forb #obamacar A good deal #aca v #elit #akin #santorum think #wow #naral http co Mt ocrqh
@campstag looking fucking amazing and all professional at #Glastonbury #LumpInMyThroat #Stoke #ProudAsFuck http://t.co/AKb78kH5qt,0,look fuck amaz profession #glastonburi #lumpinmythroat #stoke #proudasfuck http co akb kH qt
"Not all drugs are good, all right? Some of them â¦ are great. Just gotta know your way around them, is all #BillHicks #RollingStones #Glasto",0,not drug good right some great just gotta know way around #billhick #rollingston #glasto
@gennibaby Indeed. I''ve most enjoyed #glastonbury 2013 so far dance / hip-hop/ DJ by the amount of energy they''ve created! #whoduvthinnkit,0,inde i''v enjoy #glastonburi far danc hip hop DJ amount energi they''v creat #whoduvthinnkit
"Wimbledon, Glastonbury and the Tour de France. THEY GOT NOTHING ON @LoLeSports #LCS #MLG - I''m harder than Chinese algebra atm #420blazeit",0,wimbledon glastonburi tour de franc they got noth ON #lc #mlg i''m harder chines algebra atm blazeit
Awesome set by example but its all about chase and status next #glasto #eeeekkkkk #smashit,0,awesom set exampl chase statu next #glasto #eeeekkkkk #smashit
David Rodigan tonight 1Xtra #glastonbury Chase & Status - The Rolling Stones - Portishead - Daft Punk #stillarumour and DJ Bollocks sunday!,0,david rodigan tonight xtra #glastonburi chase statu the roll stone portishead daft punk #stillarumour DJ bollock sunday
Photo: accio-felix-felicis: Look what came in today! #rollingstones #fortylicks #itwasonly11dollarstoo â¡ http://t.co/NYNVrDJIV4,1,photo accio felix felici look came today #rollingston #fortylick #itwasonli dollarstoo http co nynvrdjiv
Prom was live last night :* #prom2013 #fun #amazing,0,prom live last night #prom #fun #amaz
"""@JayJilted: @EricaGrisby lookin #AMAZING in the #JiltedRoyalty #BlackSheep #Bikini! ...Released soon! http://t.co/B48d01UahU"" hmmmf",0,lookin #amaz #jiltedroyalti #blacksheep #bikini releas soon http co uahu hmmmf
Now having to turn the stereo down.....the shire isn''t used to such basslines ;-p #sorryneighbours #majorlazer #bbcglasto,0,now turn stereo shire isn''t use basslin p #sorryneighbour #majorlaz #bbcglasto
"That''s ""Mark Spark"" (Zoot Suit & the Zeroids) #breakfastfetishist RT @Sharonavraham Aahhhh Mark from Mark and Lard #goodolddays #glastonbury",1,that'' mark spark zoot suit zeroid #breakfastfetishist RT aahhhh mark mark lard #goodoldday #glastonburi
Did the 2door cinema club lead singer used to be in #eastenders ?!  #glasto #glastonbury,1,did door cinema club lead singer use #eastend #glasto #glastonburi
Still sounds like it was written yesterday #satisfaction #rollingstones #glastonburu,1,still sound like written yesterday #satisfact #rollingston #glastonburu
The strypes on the John peel stage @ Glastonbury #fantastic #bandforthefuture,0,the strype john peel stage glastonburi #fantast #bandforthefutur
"First we let the bankers get away with robbery, now we give #example an hour''s TV coverage. #englandiscrap #glastonbury",0,first let banker get away robberi give #exampl hour'' TV coverag #englandiscrap #glastonburi
Hollywood rooftop pool club! #LFG #wizkhalifa #mileycyrus #edm #summer #djs ##hellyeah #amazing http://t.co/X0wofz5HJe,0,hollywood rooftop pool club #lfg #wizkhalifa #mileycyru #edm #summer #dj ##hellyeah #amaz http co wofz hje
#wedding #secondinarow #awesomeday #amazing @ ÐÐ»ÑÑÐ½ ÐÐ¾Ð»Ñ http://t.co/KLUB7o8mQH,0,#wed #secondinarow #awesomeday #amaz http co klub mqh
"really glastonbury, example?  #Talentless",1,realli glastonburi exampl #talentless
