Tweet,Sentiment
WI 1848 Forward: #Forbes: #ObamaCare ? A good deal ? #ACA vs #elites #1% #Akin #Santorum -Think about it #WOW #NARAL http://t.co/J9Mt0ocRQh,1
@campstag looking fucking amazing and all professional at #Glastonbury #LumpInMyThroat #Stoke #ProudAsFuck http://t.co/AKb78kH5qt,0
"Not all drugs are good, all right? Some of them â¦ are great. Just gotta know your way around them, is all #BillHicks #RollingStones #Glasto",0
@gennibaby Indeed. I''ve most enjoyed #glastonbury 2013 so far dance / hip-hop/ DJ by the amount of energy they''ve created! #whoduvthinnkit,0
"Wimbledon, Glastonbury and the Tour de France. THEY GOT NOTHING ON @LoLeSports #LCS #MLG - I''m harder than Chinese algebra atm #420blazeit",0
Awesome set by example but its all about chase and status next #glasto #eeeekkkkk #smashit,0
David Rodigan tonight 1Xtra #glastonbury Chase & Status - The Rolling Stones - Portishead - Daft Punk #stillarumour and DJ Bollocks sunday!,0
Photo: accio-felix-felicis: Look what came in today! #rollingstones #fortylicks #itwasonly11dollarstoo â¡ http://t.co/NYNVrDJIV4,1
Prom was live last night :* #prom2013 #fun #amazing,0
"""@JayJilted: @EricaGrisby lookin #AMAZING in the #JiltedRoyalty #BlackSheep #Bikini! ...Released soon! http://t.co/B48d01UahU"" hmmmf",0
Now having to turn the stereo down.....the shire isn''t used to such basslines ;-p #sorryneighbours #majorlazer #bbcglasto,0
"That''s ""Mark Spark"" (Zoot Suit & the Zeroids) #breakfastfetishist RT @Sharonavraham Aahhhh Mark from Mark and Lard #goodolddays #glastonbury",1
Did the 2door cinema club lead singer used to be in #eastenders ?!  #glasto #glastonbury,1
Still sounds like it was written yesterday #satisfaction #rollingstones #glastonburu,1
The strypes on the John peel stage @ Glastonbury #fantastic #bandforthefuture,0
"First we let the bankers get away with robbery, now we give #example an hour''s TV coverage. #englandiscrap #glastonbury",0
Hollywood rooftop pool club! #LFG #wizkhalifa #mileycyrus #edm #summer #djs ##hellyeah #amazing http://t.co/X0wofz5HJe,0
#wedding #secondinarow #awesomeday #amazing @ ÐÐ»ÑÑÐ½ ÐÐ¾Ð»Ñ http://t.co/KLUB7o8mQH,0
"really glastonbury, example?  #Talentless",1
#Israel acerca su sistema antimisiles a la frontera con #Siria y el #LÃ­bano http://t.co/UT9bqThB0K,0
,0
RT @Sheridansmith1: Alex Turner is hot! Talent is such a turn on #glastonbury #articmonkeys #bbc2 #loveahashtag ;),0
Watching #noahandthewale with Noah #glastonbury http://t.co/p3JHC0fgnB,0
Fruitvale Station #wow #why #injustice #sadness #weneedtochangethings #oscargrant #heshouldbealive,1
Two weeks left living in Minneapolis. Jerking back the tears every time someone brings it up... #LoveThisCity #Minneapolis #Home #Moving,1
absolutely can''t wait to see @HarrisonCraig7 on Monday at Westfield. I think I''m going to faint :) #harrinator #harrison #amazing #knoxcity,0
How long before the first resuscitation on the pyramid stage then #bbcglasto #SlipperTime,1
"The closer he gets,the further his mind goes.. #Hannibal #NowPlaying @AXNPH",0
"Old men in skinny jeans, awful dancing and a random guitarist that looked like Clare Balding #whydidiwatchthat #rollingstones #glastonbury",1
#llewod Diddorol taw miwsig Geltaidd sydd gan HSBC''s trailer features #Celtic #music; interesting #Lions  @skysports,1
Never seen anything like the typhoon euro fighter ! #Amazing #CrappedMyPants,0
it seems like it has been ''one of those nights'' #grad2013 #safegrad #goodtimes #funstuff,0
@horrorsofficial were so awesome at #glastonbury last night #sublime,0
"At Glastonbury in my tent , I mean watching Glastonbury I''m my tent in my garden #loser http://t.co/5GGmx6sRMd",0
#glastonbury maybe happening this weekend but #Dundee has its very own #DundeeBluesBonanza @TheWestHouse,1
"RT @nick_altobella: If your girlfriend buys you a gun for your birthday, she''s a keeper. @D_Mung33 #jealous #onthehunt",1
Is this ironic dancing? #yesitHurts. #glastonbury,0
Another one for the night... #haven #gastropub #oldtown #pasadena #beers #alcohol #bro #goodtimesâ¦ http://t.co/5FQpY4Rnw4,0
@LauraKirbs you having a fab hol? #jel #dontdarecomebackbrownagain,1
@mattgalvi maverick sabre is shit #wigger #glastonbury,1
Two Door Cinema Club live from Glastonbury on BBC3 are pretty good #Bangor,0
"Its saturday, the sun is shining here at Glastonbury festival oh and Im going to see @RollingStones tonight #glasto #rollingstonesatglasto",0
I wish @taylorswift13 was at #Glastonbury. That would be awesome! #30MillionSwifties,1
Green room stage ! #greenroom #edbanger10 #solidays #festival http://t.co/9EQ5PyKiYX,0
LOVING the BBC Radio 1 coverage of #glasto2013 - The boy thinks we''re too old to go! #whatever #surewereonlybabies,0
The amazing @mccormick_jamie doing the super cool #thehaim @ #glastonbury #beautifulhair http://t.co/UMuos4s9Pb,1
#pimms at the nail table.....Don''t mind if we do! Classy campers! #powderroom #Glastonbury #glamping http://t.co/NyxAxWPMpL,0
The rolling stone''s drummer looks more suited to a church.. not #Glastonbury''s #piramidstage,1
"Esta noche estare otro sabado mas en @pubgaultier con mi maleta cargada con #Music-ON del bueno!! Jajaja 
Nos vemos en #TuPubDeModa",0
So jealous of Hard Rock Calling AND Glastonbury goers #kasabian #paulweller #brucespringsteen #rollingstones,0
"I lost my Newquay hoodie, I think I left it at the hospital :( #gutted #glfc",0
"@GSTARWELSHBOY throwing some shapes, what #redwine will do #goodtimes http://t.co/h8cGCavH9V",0
Good times #Glastonbury #RollingStones #becks #flatbread http://t.co/fLzF8KEOFf,1
Morning pint #lions #SaltOfTheEarth http://t.co/uqrfRF25qh,1
Feeling very anxious today and I don''t have a clue why. I really hate it when I feel like this. Maybe Chic will help #bbcglasto #cureanxiety,0
Last night was sick!! Dizzie Rascal crowed surfing on us all on front row and then back stage to meet all the performers #sicknight #glasto,0
How good are The Rolling Stones at Glastonbury this year! It''s never left them! #wewantthestones #rocknrollneverdies #glastonbury,1
Her legs never end. #hothothot #bbcglasto,1
To freakkkin hot to sleep!!! #imboutstoblasttheAC #waitelectricitybillfinnabeoffthechain #fml #stud http://t.co/Zqzt8whrMj,1
#Germany #Hamburg #Me #Amazing #Place #Nice #Weather #Cloudy #Clouds #Trees #Green #Country #Sideâ¦ http://t.co/HX73cjS3Kz,0
"So f****funny dry British sarcasm, I missed that #London90s #SmackThePony #memories #Brilliant #goodtimes http://t.co/GwKCqkYSFe",0
now playing: Old school sound system @irationsteppas  #glastonbury #gigheadlive http://t.co/Aj7dEmljzL,1
Sunbathing â #sun #sunshine #sunbathing #hot #pool #poolside #holidays #lanzarote #peurtodelcarmenâ¦ http://t.co/BA8Tg3pMr0,0
My dog wants to go to Glastonbury #inthemoodforit #hat http://t.co/8fDkisXKCG,1
#noicisiamo #bonjovi #becausewecan #tour #2013 #concerto #milano #sansiro #rock #rocknroll #friendâ¦ http://t.co/7iY3aQl3oT,0
Can''t wait to see THE ROLLING STONES @glastonbury tonight!!! #yeah we had a bit of a doo-dah #mickandkeith xx,0
"OK they are slightly past their prime, still outstanding tho. Stones? Nah, Public Enemy BBC4. #checkitout #glasto # dontbelievethehype",1
Okay can #Tahoe be any crazier ! Can''t wait to see the #rainbow! #weather #rain #wow #heavenlyvillageâ¦ http://t.co/S9OmE1PDoR,0
bopping around the room with Glastonbury blasting on telly to get pumped for @Tinthepark #justoveraweek #buzzing,1
Ben Howard Glastonbury #boom #specialtalent,1
"#glasto2013Â  highlights so far: Chic, Foals, Frightened Rabbit, Seth Troxler, Goat, the weather. #Day4TimeForAShower",0
Wish I was at Glastonbury tonight watching @RollingStones !! Best Â£90.00 I have ever spent watching them live in 2005 #BestBand #Fav,0
At #glastonbury this weekend? We would love to see your pics...tweet us using #lizlovesglasto,1
"@P_Thrills
#hotnewhiphop.com Y.T.I.D. #Y.T.I.D. , #HipHop, #Music, #GKengEnt
http://t.co/r3aN5WJ3RY",0
ãã¡ã¤ã³ã¹ããªã¼ãã«è¡ããã MR.CHILDREN #fm802noa #nowplaying http://t.co/GcFooYhR9a,0
#unionjfollowmespree #nbrez #eoghanmcdermo #glastonbury #robson #glasto #laurarobson5 #wiley http://t.co/ZcflF7twX1,0
@steveshanyaski oh very much underrated musically was Benny! #ErnieTheFastestMilkmanInTheWest #chic #nonsense,0
#purely #amazing #CHANEL #horse #tattoo #blonde #man #hot #dontfreakout #beautiful #instalove #instafashion... http://t.co/6nq9DY2qPo,0
Life''s full of regrets... This isn''t one of them... #rollingstones #tossingsalad #weliketogetNUTSâ¦ http://t.co/Bgg9NiwVRi,0
Fucking L!!!!!!! Example has been found out tonight hahahaha #glastonbury #awful #worstever,0
#STOPChina #stopkillingineastTurkistan China kill innocent people in East- Turkistan #Orioles #glastonbury,0
maverick sabre is unreconstructed pants. #dadcomment #glasto,0
So wish can put this plate on my Gti :( all ready been registered #gutted #sick #clean #mint #low #strutbrace http://t.co/8orKz0hqSQ,0
,0
#NowPlaying http://t.co/RxthJlOdtc #ThirdCoas Mob Figgas #ScrewedNChopped by @PolliePopThaDJ http://t.co/PGSXEGXMUH #RollinDyneSlow,0
Zo dat waren #thestones  nu terug naar de #VPRO met #loureed  met #transformer een echt goed album.,1
So hear we go the lions 2nd test win this we''ve won the series come on boys #heartgelionsroar #lions,1
Curry and watching @serenawilliams then cheeky bit of #glastonbury #perfect #recovery,0
All my shifts are done and I''m off to watch the Stones!  Woooo hooooooo! #glasto #rollingstones #druuuuuunk,1
Blogging in bed & watching #daughter at #Glastonbury @bbcglasto Amazing! #newfavouritesound,1
#goodnightig #bedtime #paperartist #goodtimes #fun #curlgang http://t.co/KykuuUQKLN,1
I can''t believe Mick skinned and dyed Big Bird for just 40 seconds of wear... #throwawayculture #glasto,0
#festaff at #Glastonbury. It be boiling - staff all gearing up for the #RollingStones tonight on #pyramidstage. http://t.co/ClzGC2UfXy,0
Any sightings of Banksy pieces at #glastonbury? I heard he was yet again there for some shenanigans. #Glasto2013 #banksy,0
Stones never been one of my bands and even after this Glastonbury thing still not sold on ''em #cantgetnosatisfaction #bringontheboss,1
couldn''t sleep last night because the adrenaline but now I am exhausted #roymeetsworld #benefitshow #soldout #standingovation #amazing,0
Summer Life spÃ©cial IBIZA #party #plage #playa #music #fun #food #sun #dj #singer #follow #followmeâ¦ http://t.co/MWo27EdQhU,0
