Source,Target,Type,Weight
4077,1445,undirected,1
4077,1312,undirected,1
1445,1312,undirected,1
1935,2069,undirected,3583
1935,2612,undirected,3583
1935,1156,undirected,3583
1935,333,undirected,3584
1935,717,undirected,3583
1935,699,undirected,3583
1935,4489,undirected,3583
1935,3933,undirected,3581
1935,4196,undirected,3581
1935,1010,undirected,3581
2069,2612,undirected,3583
2069,1156,undirected,3583
2069,333,undirected,3585
2069,717,undirected,3583
2069,699,undirected,3583
2069,4489,undirected,3583
2069,3933,undirected,3581
2069,4196,undirected,3581
2069,1010,undirected,3581
2612,1156,undirected,3583
2612,333,undirected,3583
2612,717,undirected,3583
2612,699,undirected,3583
2612,4489,undirected,3583
2612,3933,undirected,3581
2612,4196,undirected,3581
2612,1010,undirected,3581
1156,333,undirected,3583
1156,717,undirected,3583
1156,699,undirected,3583
1156,4489,undirected,3583
1156,3933,undirected,3581
1156,4196,undirected,3581
1156,1010,undirected,3581
333,717,undirected,3585
333,699,undirected,3583
333,4489,undirected,3583
333,3933,undirected,3581
333,4196,undirected,3581
333,1010,undirected,3581
717,699,undirected,3583
717,4489,undirected,3583
717,3933,undirected,3581
717,4196,undirected,3581
717,1010,undirected,3581
699,4489,undirected,3583
699,3933,undirected,3581
699,4196,undirected,3581
699,1010,undirected,3581
4489,3933,undirected,3581
4489,4196,undirected,3581
4489,1010,undirected,3581
3933,4196,undirected,3581
3933,1010,undirected,3581
4196,1010,undirected,3581
1570,175,undirected,12
3934,4153,undirected,1
3934,1541,undirected,1
3934,3870,undirected,1
3934,2207,undirected,1
3934,2232,undirected,1
3934,1433,undirected,1
3934,1663,undirected,1
3934,3048,undirected,1
4153,1541,undirected,1
4153,3870,undirected,1
4153,2207,undirected,1
4153,2232,undirected,1
4153,1433,undirected,1
4153,1663,undirected,1
4153,3048,undirected,1
1541,3870,undirected,1
1541,2207,undirected,1
1541,2232,undirected,1
1541,1433,undirected,1
1541,1663,undirected,1
1541,3048,undirected,1
3870,2207,undirected,1
3870,2232,undirected,1
3870,1433,undirected,1
3870,1663,undirected,1
3870,3048,undirected,1
2207,2232,undirected,1
2207,1433,undirected,1
2207,1663,undirected,1
2207,3048,undirected,1
2232,1433,undirected,1
2232,1663,undirected,1
2232,3048,undirected,1
1433,1663,undirected,1
1433,3048,undirected,1
1663,3048,undirected,1
4179,1589,undirected,13
1665,1663,undirected,2
1665,3975,undirected,1
1663,3975,undirected,1
2693,4003,undirected,26
1579,331,undirected,25
1589,217,undirected,4
1589,1941,undirected,13
1589,1945,undirected,13
1589,1943,undirected,13
1589,3503,undirected,13
1941,1945,undirected,13
1941,1943,undirected,13
1941,3503,undirected,13
1945,1943,undirected,13
1945,3503,undirected,13
1943,3503,undirected,13
324,1589,undirected,150
4420,925,undirected,1
4420,3033,undirected,1
4420,1522,undirected,1
4420,2004,undirected,1
925,3033,undirected,1
925,1522,undirected,5
925,2004,undirected,1
3033,1522,undirected,1
3033,2004,undirected,1
1522,2004,undirected,1
3549,4196,undirected,22
3549,1197,undirected,1
4196,1197,undirected,1
2678,3952,undirected,1
2678,4191,undirected,1
3952,4191,undirected,1
2511,2693,undirected,2
2511,4171,undirected,1
2693,4171,undirected,1
1258,910,undirected,1
1258,3339,undirected,1
1258,3345,undirected,1
1258,3350,undirected,1
1258,2379,undirected,1
1258,1663,undirected,1
1258,1164,undirected,1
1258,1728,undirected,1
1258,1091,undirected,1
1258,317,undirected,1
910,3339,undirected,1
910,3345,undirected,1
910,3350,undirected,1
910,2379,undirected,1
910,1663,undirected,1
910,1164,undirected,1
910,1728,undirected,1
910,1091,undirected,1
910,317,undirected,1
3339,3345,undirected,4
3339,3350,undirected,1
3339,2379,undirected,1
3339,1663,undirected,1
3339,1164,undirected,1
3339,1728,undirected,4
3339,1091,undirected,1
3339,317,undirected,1
3345,3350,undirected,1
3345,2379,undirected,1
3345,1663,undirected,1
